t_sec,injected_scenario,voltage,current_amp,wire_feed,travel_speed,torque_percent,temperature_c,gas_flow,operating_state,anomalyType,reasonSensor,detectionSource,candidate,confirmed,severity,anomalyScore,anomalyThreshold,consecutiveCount
130.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,51.5,17.6,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,True,CRITICAL,0.07984,0.05733,3
135.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,53.5,18.1,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,True,CRITICAL,0.11225,0.05733,4
140.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,53.7,18.2,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,True,CRITICAL,0.11425,0.05733,5
145.0,COMMUNICATION_LOSS,0.0,0.0,0.0,0.0,0.0,51.3,17.6,OFFLINE,COMMUNICATION_LOSS,operating_state,RULE,True,True,CRITICAL,0.07562,0.05733,6
150.0,WELD_QUALITY_DRIFT,38.2,233.8,8.8,43.7,53.6,55.3,18.6,WELDING,GENERAL_ANOMALY,,ISOLATION_FOREST,True,False,NORMAL,0.10849,0.05733,1
155.0,WELD_QUALITY_DRIFT,29.5,122.2,8.4,40.2,42.0,50.5,17.4,WELDING,GENERAL_ANOMALY,,ISOLATION_FOREST,True,True,WARNING,0.0898,0.05733,2
160.0,WELD_QUALITY_DRIFT,37.9,230.0,8.8,43.6,53.2,55.2,18.5,WELDING,GENERAL_ANOMALY,,ISOLATION_FOREST,True,True,WARNING,0.09933,0.05733,3
165.0,WELD_QUALITY_DRIFT,31.5,148.2,8.5,41.0,44.7,51.6,17.7,WELDING,WELD_QUALITY_DRIFT,"voltage,current_amp",RULE,True,False,NORMAL,0.09144,0.05733,1
170.0,WELD_QUALITY_DRIFT,34.5,187.1,8.6,42.2,48.7,53.3,18.1,WELDING,WELD_QUALITY_DRIFT,"voltage,current_amp",RULE,True,True,WARNING,0.09979,0.05733,2
175.0,WELD_QUALITY_DRIFT,35.5,199.1,8.7,42.6,50.0,53.8,18.2,WELDING,WELD_QUALITY_DRIFT,"voltage,current_amp",RULE,True,True,WARNING,0.09908,0.05733,3
