seam_id,profile,voltage_mean,voltage_std,voltage_min,voltage_max,current_amp_mean,current_amp_std,current_amp_min,current_amp_max,wire_feed_mean,wire_feed_std,wire_feed_min,wire_feed_max,travel_speed_mean,travel_speed_std,travel_speed_min,travel_speed_max,torque_percent_mean,torque_percent_std,torque_percent_min,torque_percent_max,temperature_c_mean,temperature_c_std,temperature_c_min,temperature_c_max,gas_flow_mean,gas_flow_std,gas_flow_min,gas_flow_max,trueLabel,modelPrediction,defectRiskProbability,threshold,agree
32,STABLE_NORMAL,27.811,0.493,27.101,28.5,237.494,7.873,224.205,251.113,8.604,0.176,8.35,8.85,42.027,1.268,40.202,43.8,48.091,4.227,42.005,53.998,53.038,1.761,50.502,55.499,18.006,0.432,17.193,18.823,PASS,PASS,0.0212,0.35,True
33,STABLE_NORMAL,27.795,0.498,27.1,28.5,237.967,7.886,227.489,251.229,8.598,0.178,8.35,8.85,41.988,1.281,40.2,43.8,47.96,4.27,42.001,53.999,52.983,1.779,50.5,55.5,17.996,0.456,17.192,18.729,PASS,PASS,0.0312,0.35,True
34,STABLE_NORMAL,27.788,0.491,27.101,28.5,238.107,7.957,224.872,252.255,8.596,0.175,8.35,8.85,41.969,1.263,40.202,43.8,47.897,4.21,42.008,53.999,52.957,1.754,50.503,55.5,18.007,0.431,17.268,18.94,PASS,PASS,0.0279,0.35,True
35,STABLE_NORMAL,27.801,0.499,27.1,28.499,237.883,7.901,225.043,251.034,8.6,0.178,8.35,8.85,42.002,1.284,40.201,43.799,48.006,4.28,42.002,53.995,53.003,1.783,50.501,55.498,17.992,0.46,17.146,18.796,PASS,PASS,0.028,0.35,True
36,STABLE_NORMAL,27.789,0.492,27.1,28.5,237.832,7.461,226.425,249.64,8.596,0.176,8.35,8.85,41.971,1.266,40.2,43.8,47.905,4.221,42.0,54.0,52.96,1.759,50.5,55.5,17.982,0.477,17.197,18.828,PASS,PASS,0.0277,0.35,True
37,STABLE_NORMAL,27.805,0.498,27.1,28.5,238.102,8.188,222.455,250.872,8.602,0.178,8.35,8.85,42.012,1.281,40.2,43.8,48.04,4.27,42.001,53.999,53.017,1.779,50.5,55.5,18.007,0.448,17.129,18.762,PASS,PASS,0.0249,0.35,True
38,STABLE_NORMAL,27.791,0.495,27.101,28.5,237.801,8.301,221.95,253.871,8.597,0.177,8.35,8.85,41.977,1.273,40.202,43.8,47.924,4.243,42.006,53.999,52.969,1.768,50.502,55.499,17.983,0.438,17.311,18.848,PASS,PASS,0.0292,0.35,True
39,STABLE_NORMAL,27.812,0.491,27.101,28.5,237.564,8.242,222.863,254.715,8.604,0.175,8.35,8.85,42.032,1.262,40.203,43.8,48.107,4.205,42.01,54.0,53.045,1.752,50.504,55.5,18.01,0.436,17.091,18.779,PASS,PASS,0.0226,0.35,True
40,NOISY_NORMAL,27.812,0.491,27.1,28.499,238.426,10.065,218.248,256.013,8.604,0.175,8.35,8.85,42.031,1.263,40.2,43.798,48.103,4.211,42.001,53.994,53.043,1.755,50.501,55.498,17.943,0.884,16.277,20.136,PASS,DEFECT_RISK,0.3805,0.35,False
41,NOISY_NORMAL,27.803,0.499,27.1,28.5,237.123,8.3,222.768,253.907,8.601,0.178,8.35,8.85,42.009,1.283,40.201,43.799,48.028,4.275,42.004,53.998,53.012,1.781,50.502,55.499,17.872,0.81,15.892,19.398,PASS,PASS,0.0878,0.35,True
42,NOISY_NORMAL,27.811,0.492,27.1,28.5,238.389,9.555,215.697,261.173,8.604,0.176,8.35,8.85,42.028,1.266,40.2,43.8,48.095,4.221,42.0,54.0,53.04,1.759,50.5,55.5,18.049,0.942,16.298,20.202,PASS,PASS,0.1887,0.35,True
43,NOISY_NORMAL,27.795,0.498,27.1,28.5,238.5,10.507,216.919,261.129,8.598,0.178,8.35,8.85,41.987,1.281,40.201,43.799,47.958,4.269,42.004,53.997,52.983,1.779,50.502,55.499,18.063,0.903,16.296,20.455,PASS,DEFECT_RISK,0.392,0.35,False
44,NOISY_NORMAL,27.801,0.499,27.1,28.5,238.037,9.672,218.126,260.951,8.6,0.178,8.35,8.85,42.003,1.284,40.2,43.8,48.009,4.28,42.001,53.999,53.004,1.783,50.5,55.5,18.19,0.926,16.336,20.068,PASS,PASS,0.2013,0.35,True
45,NOISY_NORMAL,27.79,0.494,27.1,28.5,236.829,10.281,216.922,254.041,8.597,0.177,8.35,8.85,41.976,1.271,40.201,43.799,47.918,4.237,42.003,53.996,52.966,1.765,50.501,55.498,18.042,0.776,15.987,19.474,PASS,DEFECT_RISK,0.3898,0.35,False
46,NOISY_NORMAL,27.789,0.492,27.101,28.5,237.815,9.373,217.142,255.69,8.596,0.176,8.35,8.85,41.971,1.265,40.203,43.8,47.902,4.217,42.009,54.0,52.959,1.757,50.504,55.5,17.945,0.993,14.068,19.585,PASS,PASS,0.1998,0.35,True
47,NOISY_NORMAL,27.809,0.495,27.1,28.5,239.23,10.222,215.857,260.896,8.603,0.177,8.35,8.85,42.023,1.272,40.201,43.799,48.077,4.242,42.003,53.998,53.032,1.767,50.501,55.499,18.073,0.918,16.109,20.364,PASS,DEFECT_RISK,0.3881,0.35,False
48,NOISY_NORMAL,27.807,0.497,27.1,28.499,240.113,9.472,220.069,257.916,8.602,0.177,8.35,8.85,42.018,1.277,40.2,43.798,48.059,4.257,42.002,53.995,53.025,1.774,50.501,55.498,18.206,0.97,16.259,20.239,PASS,PASS,0.2055,0.35,True
49,NOISY_NORMAL,27.797,0.499,27.1,28.499,237.459,9.122,218.777,255.998,8.599,0.178,8.35,8.85,41.991,1.282,40.201,43.799,47.971,4.275,42.002,53.996,52.988,1.781,50.501,55.498,17.871,1.059,15.063,19.596,PASS,PASS,0.2473,0.35,True
50,NOISY_NORMAL,27.81,0.494,27.101,28.5,239.266,10.737,218.592,261.332,8.604,0.176,8.35,8.85,42.025,1.27,40.202,43.8,48.085,4.233,42.008,54.0,53.035,1.764,50.503,55.5,17.879,0.934,15.775,19.848,PASS,DEFECT_RISK,0.433,0.35,False
51,NOISY_NORMAL,27.79,0.494,27.1,28.499,237.255,9.588,219.681,263.274,8.597,0.176,8.35,8.85,41.975,1.27,40.2,43.797,47.917,4.235,42.0,53.99,52.965,1.765,50.5,55.496,18.108,0.845,15.552,19.908,PASS,PASS,0.2002,0.35,True
52,NOISY_NORMAL,27.8,0.499,27.1,28.499,239.387,9.544,220.154,257.195,8.6,0.178,8.35,8.849,42.001,1.284,40.2,43.796,48.003,4.28,42.0,53.988,53.001,1.783,50.5,55.495,17.918,0.971,15.904,20.233,PASS,PASS,0.2187,0.35,True
53,NOISY_NORMAL,27.801,0.499,27.1,28.5,238.784,10.961,212.925,258.23,8.6,0.178,8.35,8.85,42.003,1.284,40.2,43.8,48.011,4.279,42.0,54.0,53.005,1.783,50.5,55.5,18.18,0.991,15.637,20.714,PASS,DEFECT_RISK,0.3891,0.35,False
54,NOISY_NORMAL,27.798,0.499,27.1,28.5,237.298,9.863,215.438,256.983,8.599,0.178,8.35,8.85,41.996,1.284,40.201,43.8,47.987,4.279,42.002,53.998,52.994,1.783,50.501,55.499,17.851,0.8,16.144,19.865,PASS,PASS,0.2798,0.35,True
55,NOISY_NORMAL,27.787,0.49,27.101,28.5,237.914,10.829,219.976,258.536,8.596,0.175,8.35,8.85,41.968,1.261,40.202,43.8,47.892,4.204,42.007,53.999,52.955,1.752,50.503,55.5,18.025,0.943,15.241,19.982,PASS,DEFECT_RISK,0.3837,0.35,False
56,NOISY_NORMAL,27.795,0.498,27.101,28.5,237.183,9.41,216.442,254.433,8.598,0.178,8.35,8.85,41.987,1.28,40.202,43.8,47.957,4.268,42.008,53.999,52.982,1.778,50.503,55.5,17.985,0.893,16.139,20.124,PASS,PASS,0.1932,0.35,True
57,NOISY_NORMAL,27.79,0.494,27.1,28.499,237.146,10.565,217.582,259.68,8.597,0.176,8.35,8.849,41.975,1.27,40.2,43.796,47.916,4.234,42.0,53.987,52.965,1.764,50.5,55.495,17.986,0.945,16.148,20.381,PASS,DEFECT_RISK,0.3885,0.35,False
58,NOISY_NORMAL,27.802,0.499,27.101,28.5,238.732,10.621,217.31,259.119,8.601,0.178,8.35,8.85,42.005,1.283,40.204,43.8,48.018,4.278,42.012,54.0,53.007,1.783,50.505,55.5,18.115,0.804,16.316,19.851,PASS,DEFECT_RISK,0.3891,0.35,False
59,NOISY_NORMAL,27.81,0.494,27.101,28.5,238.426,8.208,219.43,256.168,8.604,0.176,8.35,8.85,42.025,1.27,40.202,43.8,48.085,4.233,42.008,54.0,53.035,1.764,50.503,55.5,18.052,0.762,15.89,19.556,PASS,PASS,0.0291,0.35,True
60,NOISY_NORMAL,27.796,0.498,27.1,28.5,238.549,8.363,224.879,256.817,8.598,0.178,8.35,8.85,41.989,1.281,40.2,43.8,47.963,4.271,42.0,54.0,52.985,1.78,50.5,55.5,17.902,0.889,15.785,20.008,PASS,PASS,0.0933,0.35,True
61,NOISY_NORMAL,27.787,0.491,27.101,28.5,236.616,9.815,219.069,255.532,8.596,0.175,8.35,8.85,41.968,1.261,40.201,43.799,47.893,4.204,42.005,53.998,52.955,1.752,50.502,55.499,17.883,0.89,15.959,19.681,PASS,PASS,0.2499,0.35,True
62,NOISY_NORMAL,27.807,0.497,27.1,28.5,238.088,9.112,214.239,258.51,8.603,0.177,8.35,8.85,42.018,1.277,40.201,43.8,48.061,4.256,42.002,53.998,53.025,1.773,50.501,55.499,18.001,0.976,15.29,19.982,PASS,PASS,0.1871,0.35,True
63,NOISY_NORMAL,27.787,0.491,27.101,28.5,237.06,10.155,213.914,257.956,8.596,0.175,8.35,8.85,41.968,1.261,40.202,43.8,47.893,4.204,42.006,53.999,52.955,1.752,50.503,55.5,17.861,0.967,15.926,19.859,PASS,DEFECT_RISK,0.4334,0.35,False
64,NOISY_NORMAL,27.812,0.492,27.1,28.499,237.409,10.574,215.592,261.531,8.604,0.176,8.35,8.849,42.03,1.265,40.2,43.796,48.099,4.216,42.0,53.988,53.041,1.757,50.5,55.495,18.023,0.803,15.457,19.657,PASS,DEFECT_RISK,0.3891,0.35,False
65,NOISY_NORMAL,27.791,0.495,27.1,28.5,237.326,8.955,221.492,258.551,8.597,0.177,8.35,8.85,41.977,1.272,40.2,43.8,47.922,4.24,42.0,54.0,52.967,1.767,50.5,55.5,17.929,0.963,16.015,19.891,PASS,PASS,0.1327,0.35,True
66,NOISY_NORMAL,27.795,0.498,27.1,28.5,237.891,11.205,218.118,273.148,8.598,0.178,8.35,8.85,41.988,1.281,40.201,43.799,47.958,4.269,42.003,53.997,52.983,1.779,50.501,55.499,18.25,0.858,15.272,20.304,PASS,DEFECT_RISK,0.3921,0.35,False
67,NOISY_NORMAL,27.787,0.49,27.1,28.497,237.663,9.581,221.679,252.634,8.595,0.175,8.35,8.849,41.968,1.261,40.201,43.792,47.892,4.203,42.002,53.974,52.955,1.751,50.501,55.489,17.934,0.952,16.038,19.911,PASS,PASS,0.2051,0.35,True
68,NOISY_NORMAL,27.805,0.498,27.1,28.5,238.883,10.126,214.033,256.363,8.602,0.178,8.35,8.85,42.012,1.281,40.201,43.799,48.041,4.269,42.003,53.998,53.017,1.779,50.501,55.499,17.974,0.784,16.697,20.776,PASS,DEFECT_RISK,0.3865,0.35,False
69,NOISY_NORMAL,27.789,0.492,27.1,28.5,237.966,9.101,218.586,255.072,8.596,0.176,8.35,8.85,41.971,1.266,40.2,43.8,47.904,4.219,42.001,53.999,52.96,1.758,50.5,55.499,18.073,0.846,15.507,20.141,PASS,PASS,0.1912,0.35,True
70,NOISY_NORMAL,27.789,0.493,27.1,28.499,238.935,9.823,217.803,258.853,8.596,0.176,8.35,8.85,41.973,1.268,40.2,43.797,47.908,4.225,42.0,53.99,52.962,1.761,50.5,55.496,17.923,0.815,15.957,19.681,PASS,PASS,0.2168,0.35,True
71,NOISY_NORMAL,27.811,0.492,27.1,28.5,238.122,9.43,210.113,261.54,8.604,0.176,8.35,8.85,42.029,1.266,40.2,43.8,48.095,4.221,42.0,54.0,53.04,1.759,50.5,55.5,17.947,0.93,15.765,19.77,PASS,PASS,0.1938,0.35,True
72,NOISY_NORMAL,27.796,0.498,27.1,28.5,237.965,10.947,211.527,260.086,8.598,0.178,8.35,8.85,41.989,1.281,40.2,43.8,47.963,4.271,42.001,54.0,52.985,1.78,50.5,55.5,18.107,0.862,15.942,19.734,PASS,DEFECT_RISK,0.3915,0.35,False
73,NOISY_NORMAL,27.798,0.499,27.1,28.499,238.055,10.574,212.126,257.643,8.599,0.178,8.35,8.85,41.995,1.284,40.2,43.798,47.984,4.279,42.001,53.994,52.993,1.783,50.5,55.497,18.004,0.971,15.889,19.638,PASS,DEFECT_RISK,0.3911,0.35,False
74,NOISY_NORMAL,27.801,0.499,27.1,28.499,237.939,11.602,211.331,259.494,8.6,0.178,8.35,8.85,42.002,1.284,40.2,43.798,48.005,4.28,42.001,53.992,53.002,1.783,50.5,55.497,18.022,0.952,15.383,20.079,PASS,DEFECT_RISK,0.39,0.35,False
75,NOISY_NORMAL,27.809,0.495,27.1,28.499,237.024,10.005,217.327,257.069,8.603,0.177,8.35,8.85,42.022,1.273,40.2,43.797,48.075,4.244,42.0,53.99,53.031,1.768,50.5,55.496,17.95,0.875,15.781,19.809,PASS,DEFECT_RISK,0.3658,0.35,False
76,NOISY_NORMAL,27.806,0.497,27.101,28.5,237.489,10.312,218.956,265.765,8.602,0.178,8.35,8.85,42.015,1.279,40.202,43.8,48.05,4.264,42.008,53.999,53.021,1.777,50.503,55.5,17.825,1.055,14.794,20.235,PASS,DEFECT_RISK,0.4324,0.35,False
77,NOISY_NORMAL,27.788,0.491,27.101,28.5,237.602,10.124,218.893,258.444,8.596,0.175,8.35,8.85,41.969,1.263,40.204,43.8,47.896,4.21,42.012,54.0,52.957,1.754,50.505,55.5,17.816,0.902,16.248,19.913,PASS,DEFECT_RISK,0.4307,0.35,False
78,NOISY_NORMAL,27.804,0.498,27.101,28.5,237.696,9.925,222.097,259.898,8.601,0.178,8.35,8.85,42.01,1.282,40.201,43.799,48.034,4.273,42.005,53.998,53.014,1.78,50.502,55.499,17.997,0.904,15.94,20.735,PASS,PASS,0.3186,0.35,True
79,NOISY_NORMAL,27.812,0.491,27.1,28.5,238.676,9.775,211.646,258.003,8.604,0.175,8.35,8.85,42.031,1.263,40.201,43.799,48.102,4.211,42.003,53.997,53.043,1.755,50.501,55.499,18.142,0.934,15.619,20.492,PASS,PASS,0.1991,0.35,True
80,CURRENT_UNSTABLE,27.812,0.491,27.101,28.5,236.683,20.811,160.057,280.848,8.604,0.175,8.35,8.85,42.032,1.262,40.204,43.8,48.107,4.205,42.012,54.0,53.044,1.752,50.505,55.5,17.963,0.503,17.015,18.932,DEFECT_RISK,DEFECT_RISK,0.4419,0.35,True
81,CURRENT_UNSTABLE,27.788,0.491,27.1,28.5,237.98,28.417,156.4,323.982,8.596,0.175,8.35,8.85,41.969,1.263,40.201,43.799,47.895,4.209,42.003,53.997,52.956,1.754,50.501,55.499,18.001,0.509,16.896,19.049,DEFECT_RISK,DEFECT_RISK,0.5976,0.35,True
82,CURRENT_UNSTABLE,27.808,0.496,27.1,28.5,234.4,27.39,138.749,318.939,8.603,0.177,8.35,8.85,42.02,1.276,40.201,43.799,48.066,4.252,42.004,53.997,53.028,1.772,50.501,55.499,18.013,0.526,16.917,19.224,DEFECT_RISK,DEFECT_RISK,0.5002,0.35,True
83,CURRENT_UNSTABLE,27.812,0.491,27.1,28.5,235.938,23.933,157.09,309.348,8.604,0.175,8.35,8.85,42.031,1.262,40.2,43.8,48.105,4.208,42.002,53.999,53.044,1.753,50.501,55.499,17.978,0.513,16.725,18.848,DEFECT_RISK,DEFECT_RISK,0.4916,0.35,True
84,CURRENT_UNSTABLE,27.806,0.497,27.101,28.5,239.152,21.325,182.602,314.948,8.602,0.178,8.35,8.85,42.015,1.279,40.202,43.8,48.05,4.264,42.008,53.999,53.021,1.777,50.503,55.5,18.004,0.516,16.969,19.035,DEFECT_RISK,DEFECT_RISK,0.3885,0.35,True
85,CURRENT_UNSTABLE,27.813,0.491,27.1,28.5,236.21,24.166,103.645,316.315,8.604,0.175,8.35,8.85,42.032,1.261,40.201,43.799,48.107,4.205,42.002,53.996,53.045,1.752,50.501,55.498,17.938,0.48,17.116,19.038,DEFECT_RISK,DEFECT_RISK,0.497,0.35,True
86,CURRENT_UNSTABLE,27.807,0.497,27.1,28.499,240.963,33.211,145.904,334.299,8.602,0.177,8.35,8.85,42.017,1.278,40.2,43.797,48.058,4.259,42.0,53.989,53.024,1.774,50.5,55.496,18.011,0.503,17.009,19.19,DEFECT_RISK,DEFECT_RISK,0.6212,0.35,True
87,CURRENT_UNSTABLE,27.813,0.49,27.102,28.5,234.965,32.99,133.816,326.917,8.605,0.175,8.351,8.85,42.032,1.261,40.204,43.8,48.108,4.203,42.015,54.0,53.045,1.751,50.506,55.5,17.964,0.475,17.089,18.905,DEFECT_RISK,DEFECT_RISK,0.6277,0.35,True
88,CURRENT_UNSTABLE,27.81,0.493,27.1,28.499,230.908,29.658,136.289,311.029,8.604,0.176,8.35,8.85,42.026,1.269,40.2,43.797,48.088,4.229,42.0,53.989,53.037,1.762,50.5,55.495,17.986,0.521,16.717,18.927,DEFECT_RISK,DEFECT_RISK,0.5002,0.35,True
89,CURRENT_UNSTABLE,27.798,0.499,27.1,28.5,235.939,25.537,176.647,333.129,8.599,0.178,8.35,8.85,41.996,1.284,40.201,43.799,47.986,4.279,42.003,53.997,52.994,1.783,50.501,55.499,18.042,0.497,16.986,18.908,DEFECT_RISK,DEFECT_RISK,0.5843,0.35,True
90,CURRENT_UNSTABLE,27.811,0.492,27.1,28.5,240.467,22.479,180.937,356.518,8.604,0.176,8.35,8.85,42.029,1.266,40.201,43.799,48.097,4.219,42.002,53.998,53.04,1.758,50.501,55.499,17.916,0.489,16.638,19.243,DEFECT_RISK,DEFECT_RISK,0.5815,0.35,True
