rule_id,section,applies_to,check_kind,target,severity,reason,resolution,legal_ref,evidence_type
R25,보충-밀폐공간,밀폐공간,supplementary,구명장구,HARD,구명장구(구명밧줄·송기마스크) 미지급,안전대·구명밧줄·공기호흡기 또는 송기마스크 지급 및 착용,제624조;제625조,법조문직접확인
R26,보충-밀폐공간,밀폐공간,signature,confirmer,HARD,밀폐공간 보충허가 확인자 서명 누락,감시인 지정 및 확인자 서명,제623조,법조문직접확인
R27,보충-정전,정전,supplementary,제어실 스위치·차단기 내림,HARD,제어실 측 전로 차단 미실시,제어실 개폐기 차단,제319조,법조문직접확인
R28,보충-정전,정전,supplementary,제어실 잠금장치 시건·표지부착,HARD,제어실 개폐기 잠금·통전금지 표지 미부착,개폐기에 잠금장치 시건 및 통전금지 표지 설치,제319조,법조문직접확인
R29,보충-정전,정전,supplementary,현장 스위치·차단기 내림,HARD,현장 측 전로 차단 미실시,현장 개폐기 차단,제319조,법조문직접확인
R30,보충-정전,정전,supplementary,현장 잠금장치 시건·표지부착,HARD,현장 개폐기 잠금·통전금지 표지 미부착,개폐기에 잠금장치 시건 및 통전금지 표지 설치,제319조,법조문직접확인
R31,보충-정전,정전,signature,confirmer,HARD,정전 보충허가 확인자 서명 누락,확인자 지정 및 서명,제319조,양식필수
R32,보충-굴착,굴착,supplementary,설비 가스·기계·소방배관 점검,HARD,굴착 전 지하매설 가스·기계·소방배관 미점검,굴착 전 지하매설물 사전조사 및 점검자 지정,제38조,법조문직접확인
R33,보충-굴착,굴착,supplementary,설비 전기·계장·통신 점검,HARD,굴착 전 지하매설 전기·계장·통신설비 미점검,굴착 전 지하매설물 사전조사 및 점검자 지정,제38조,법조문직접확인
R34,보충-굴착,굴착,signature,confirmer,HARD,굴착 보충허가 확인자 서명 누락,확인자 지정 및 서명,제38조,양식필수
R35,보충-방사선,방사선,supplementary,비인가자 출입제한,HARD,방사선관리구역 비인가자 출입제한 미실시,방사선관리구역 지정·구획 및 관계자 외 출입금지,제575조,법조문직접확인
R36,보충-방사선,방사선,supplementary,방사선 위험경고·표지,HARD,방사선 위험 경고표지 미게시,관리구역에 방사선 위험 경고표지 게시,제579조,법조문직접확인
R37,보충-방사선,방사선,supplementary,자격증 소지,HARD,방사선 취급 자격 미확인,방사선 취급 자격 보유자 지정,제575조,추론
R38,보충-방사선,방사선,supplementary,방사선 방사점 도면첨부,COND,방사점 및 관리구역 도면 미첨부,방사점·관리구역 도면 작성 및 첨부,제575조,법조문직접확인
R39,보충-방사선,방사선,signature,confirmer,HARD,방사선 보충허가 확인자 서명 누락,확인자 지정 및 서명,제575조,양식필수
R40,보충-고소,고소,supplementary,작업발판·안전난간,HARD,고소작업 작업발판 또는 안전난간 미설치,비계 조립 등으로 작업발판 설치 및 안전난간 설치,제42조;제13조,법조문직접확인
R41,보충-고소,고소,supplementary,안전대 착용·부착,HARD,안전대 미착용 또는 부착설비 미설치,안전대 착용 및 안전대 부착설비 설치,제32조;제44조,법조문직접확인
R42,보충-고소,고소,supplementary,추락방지망,COND,추락방호망 미설치,작업발판 설치 곤란 시 추락방호망 설치,제42조,법조문직접확인
R43,보충-고소,고소,signature,confirmer,HARD,고소 보충허가 확인자 서명 누락,확인자 지정 및 서명,제42조,양식필수
R44,보충-중장비,중장비,supplementary,투입장비 명시,COND,투입 중장비 종류 미기재,투입 장비명 기재,-,양식필수
R45,보충-중장비,중장비,supplementary,자격증 소지,HARD,중장비 운전자 자격 미확인,해당 장비 운전 자격 보유자 지정,제38조,추론
R46,보충-중장비,중장비,supplementary,현장책임자 감독,HARD,중장비 작업 현장책임자·작업지휘자 미지정,작업지휘자 지정 및 작업계획서에 따른 지휘,제39조,법조문직접확인
R47,보충-중장비,중장비,supplementary,기상·노면상태,COND,중장비 작업 전 기상·노면상태 미확인,악천후·강풍 시 작업중지 기준 확인 및 지반 부동침하 방지,제37조;제199조,법조문직접확인
R48,보충-중장비,중장비,supplementary,전선·설비간섭,HARD,중장비 붐·암의 충전전로 접촉 위험 미검토,충전전로 이격거리 확보 또는 절연용 방호구 설치,제322조,법조문직접확인
R49,보충-중장비,중장비,supplementary,신호수 배치,HARD,중장비 작업 신호수(유도자) 미배치,유도자 배치 및 정해진 신호방법 준수,제200조;제40조,법조문직접확인
R50,보충-중장비,중장비,supplementary,매트 등 부속장구,COND,지반 침하방지용 매트 등 부속장구 미확보,지반 부동침하 및 갓길 붕괴 방지조치,제199조,법조문직접확인
R51,보충-중장비,중장비,supplementary,운전원 지정,COND,중장비 운전원 미지정,장비별 운전원 지정 및 운전위치 이탈 시 조치 준수,제99조,법조문직접확인
R52,보충-중장비,중장비,signature,confirmer,HARD,중장비 보충허가 확인자 서명 누락,확인자 지정 및 서명,제200조,양식필수
R53,기본정보,전체,field,작업자,HARD,작업자 성명 미기재,실제 작업 수행자 성명 기재,-,양식필수
R54,기본정보,전체,field,입회자,HARD,입회자 성명 미기재,작업 입회자 성명 기재,-,양식필수
R55,안전조치,중장비,measure,운전요원의 입회,HARD,운전요원의 입회 미확인,중장비 운전 시 운전요원 입회 확인 표시,-,양식필수
R56,안전조치,도장,measure,가스농도측정,HARD,도장작업 전 가연성증기·산소농도 미측정,작업 전 가연성 증기 및 산소 농도 측정·평가,제619조의2,사례집(도장작업 안전점검표 1·3번)
R57,안전조치,도장,measure,환기장비,HARD,도장작업 환기(급배기)설비 미확보,급기·배기설비 정상작동 및 적정 풍량 확보,제620조,사례집(도장작업 안전점검표 4번)
R58,안전조치,도장,measure,소화기,HARD,도장작업 장소 소화기구 미비치,인화성 도료 취급 장소에 소화설비 비치 및 작동상태 확인,제232조,사례집(도장작업 안전점검표 11번)
R59,안전조치,도장,measure,조명장비,COND,도장작업 조도 확보 미흡,작업구역 조도 확보(방폭등 사용 권장),제21조,사례집(도장작업 안전점검표 12번)
R60,안전조치,도장,measure,안전장구,HARD,도장작업 호흡보호구(송기·방독마스크) 미확보,유기용제 대응 송기마스크 또는 방독마스크 지급·착용,제32조;제450조,사례집(도장작업 안전점검표 14번)
R61,안전조치,전기작업,measure,안전장구,HARD,전기작업 절연용 보호구 미확보,감전 위험 작업에 맞는 절연용 보호구 지급·착용,제32조;제318조,법조문직접확인
R62,안전조치,전기작업,measure,조명장비,COND,전기작업 적정 조도 미확보,충전부 식별이 가능하도록 작업에 적합한 조도 유지,제21조,추론
R63,안전조치,전기작업,measure,안전교육,HARD,전기작업 전 안전교육(작업계획 주지) 미실시,작업계획서 내용 및 감전위험을 작업 근로자에게 주지,제38조;제318조,법조문직접확인
